id,especie,raca,idade_anos,sexo,hemoglobina,hematocrito,leucocitos,glicose,ureia,creatinina,alt,albumina,febre,apatia,perda_peso,vomito,diarreia,tosse,letargia,feridas_cutaneas,poliuria,polidipsia,diagnostico
VET0028,Canina,Maine Coon,5.3,F,17.53,48.53,11.98,117.2,35.62,0.74,80.46,3.36,0,0,0,0,0,0,0,0,0,0,Saudável
VET0029,Canina,Siamês,4.3,F,13.11,42.63,9.41,95.73,28.35,1.08,49.0,3.13,1,0,0,0,0,0,1,0,0,0,Saudável
VET0030,Canina,SRD,7.7,M,13.86,37.78,7.12,95.72,37.08,0.73,62.77,2.7,0,0,0,0,0,0,0,0,0,0,Saudável
VET0031,Canina,SRD,9.3,F,13.46,47.31,11.39,100.57,30.17,1.03,46.89,3.55,0,0,0,0,0,0,0,0,0,0,Saudável
VET0032,Canina,Poodle,19.6,M,11.94,40.97,6.39,89.73,35.15,1.5,56.54,3.13,0,0,0,0,0,0,0,0,0,0,Saudável
VET0033,Canina,Labrador,9.7,M,14.95,43.16,9.45,107.46,28.15,1.02,40.45,3.34,0,0,0,0,0,0,0,0,0,0,Saudável
VET0034,Canina,Labrador,5.4,M,15.62,52.51,9.68,76.33,20.77,1.45,63.09,3.18,0,0,0,0,0,0,1,0,0,0,Saudável
VET0035,Canina,SRD,7.4,M,16.95,45.74,12.3,93.65,41.25,1.76,60.48,3.02,0,0,0,0,0,0,0,0,0,0,Saudável
VET0036,Canina,SRD,4.4,F,13.31,44.4,11.98,75.21,41.44,0.95,71.61,2.65,0,0,0,0,0,0,0,0,1,0,Saudável
VET0037,Canina,Siamês,3.3,M,12.58,44.54,12.47,133.55,26.14,1.42,5.0,2.58,0,0,0,0,0,0,0,0,0,0,Saudável
VET0038,Canina,Labrador,9.7,F,14.87,45.12,9.89,84.08,35.79,0.96,60.01,2.88,0,0,0,0,0,0,0,0,0,0,Saudável
VET0039,Canina,SRD,14.1,M,13.12,45.91,14.24,110.08,30.94,0.9,48.06,3.06,0,0,0,0,1,0,0,0,1,0,Saudável
VET0040,Canina,Poodle,18.9,M,15.46,38.16,7.96,106.15,36.37,0.94,50.37,3.3,0,0,0,0,0,0,0,0,0,0,Saudável
VET0041,Canina,SRD,7.0,M,17.36,49.74,12.77,116.06,31.04,0.44,30.21,3.24,0,0,0,0,0,0,1,0,0,0,Saudável
VET0042,Canina,Labrador,6.6,M,15.91,38.92,11.98,85.12,21.48,1.3,42.96,3.27,0,0,0,0,0,0,0,0,0,0,Saudável
VET0043,Canina,Poodle,14.4,M,14.01,39.72,11.32,110.97,35.96,1.25,62.37,3.59,0,0,0,0,1,0,0,0,0,0,Saudável
VET0044,Canina,Labrador,12.1,M,15.67,44.15,15.39,93.79,31.28,1.27,21.9,3.35,0,0,0,0,0,0,0,0,0,0,Saudável
VET0045,Canina,Maine Coon,4.2,M,15.12,49.26,10.45,116.14,53.39,0.89,41.09,3.64,0,0,0,0,0,0,0,0,0,0,Saudável
VET0046,Canina,SRD,10.7,F,14.59,48.94,11.36,94.26,40.4,0.66,57.65,3.25,0,0,0,0,0,0,0,0,0,0,Saudável
VET0047,Canina,SRD,4.5,M,17.13,42.72,9.5,102.07,30.58,1.19,54.06,2.75,0,0,0,0,0,0,0,0,0,0,Saudável
VET0048,Canina,Persa,8.7,M,15.16,45.18,10.11,108.61,35.29,1.56,66.41,3.53,0,0,0,0,0,0,0,0,0,0,Saudável
VET0049,Canina,Maine Coon,12.4,F,16.56,44.62,12.69,92.71,28.51,1.26,63.05,2.63,0,0,0,0,0,0,0,0,0,0,Saudável
VET0050,Canina,Persa,8.6,M,16.02,44.25,10.79,89.56,36.4,0.46,69.3,3.06,0,1,0,0,0,0,0,0,0,0,Saudável
VET0051,Canina,SRD,15.2,M,12.45,43.37,8.31,92.33,40.19,1.3,72.44,3.59,0,1,0,0,0,0,0,0,0,1,Saudável
VET0052,Canina,SRD,6.9,M,13.61,45.3,11.31,109.26,32.26,1.15,49.42,3.28,0,0,0,0,0,0,0,0,0,0,Saudável
VET0053,Canina,SRD,13.5,F,15.56,41.97,7.93,90.26,29.07,1.0,18.17,3.37,0,0,0,0,0,0,0,0,0,0,Saudável
VET0054,Canina,Persa,7.6,M,16.27,54.61,11.93,102.87,49.25,0.74,50.75,3.12,0,0,0,0,0,0,0,0,0,0,Saudável
VET0055,Canina,Labrador,6.4,M,17.72,46.43,13.18,105.22,30.36,1.33,52.29,3.49,0,0,0,0,0,0,0,0,0,0,Saudável
VET0056,Canina,Siamês,11.1,F,11.96,47.47,15.39,139.48,34.23,0.72,65.07,2.86,0,0,0,0,0,0,0,0,0,0,Saudável
VET0057,Canina,Poodle,7.9,F,12.66,53.01,11.68,121.71,21.94,0.83,66.01,3.25,0,0,0,0,0,0,0,0,0,1,Saudável
VET0058,Canina,Poodle,2.4,F,16.76,51.44,7.06,122.18,42.08,1.08,35.73,2.94,0,0,0,0,0,0,0,0,0,0,Saudável
VET0059,Canina,SRD,12.1,M,14.75,40.42,13.76,96.73,29.06,0.61,78.09,2.72,0,0,0,0,0,0,0,0,0,1,Saudável
VET0060,Canina,Poodle,10.7,M,15.08,42.5,10.39,120.74,41.18,0.86,5.0,2.74,0,0,0,0,0,0,1,0,0,0,Saudável
VET0061,Canina,SRD,14.0,M,14.85,44.89,14.01,87.25,37.99,1.15,53.97,3.12,0,0,0,0,0,0,0,0,0,0,Saudável
VET0062,Canina,SRD,6.2,F,14.62,42.58,11.02,113.35,40.55,0.97,65.36,3.44,0,0,0,0,0,0,0,0,0,0,Saudável
VET0063,Canina,Labrador,8.9,M,15.25,42.2,15.27,118.01,17.01,0.8,51.18,3.54,0,0,0,0,0,0,0,0,0,0,Saudável
VET0064,Canina,Siamês,4.1,M,17.73,43.99,13.18,92.17,39.42,0.99,30.99,2.94,0,0,0,0,0,0,0,0,0,0,Saudável
VET0065,Canina,SRD,12.2,M,14.13,41.42,10.3,102.92,33.85,1.24,59.54,2.52,0,0,0,0,0,0,0,0,0,0,Saudável
VET0066,Canina,SRD,5.5,F,13.95,46.74,14.68,103.8,40.45,0.93,27.45,3.07,0,0,0,0,0,0,0,0,0,0,Saudável
VET0067,Canina,Poodle,4.8,M,16.0,38.8,10.15,123.45,48.67,0.88,57.8,3.56,0,1,0,0,0,0,0,0,0,0,Saudável
VET0068,Canina,Maine Coon,3.1,F,15.05,39.62,14.47,120.34,41.96,0.93,19.24,2.75,1,0,0,0,0,0,0,0,0,0,Saudável
VET0069,Canina,Poodle,5.0,M,14.97,46.53,9.26,90.77,41.92,1.23,65.46,2.85,0,0,0,0,0,0,0,0,0,0,Saudável
VET0070,Canina,Poodle,15.6,M,14.64,50.24,12.12,97.9,34.23,1.11,78.04,2.6,0,0,0,0,0,0,0,0,0,0,Saudável
VET0071,Canina,Siamês,6.1,M,13.45,50.25,12.15,97.56,33.2,1.06,99.3,3.11,0,0,0,0,0,0,0,0,0,0,Saudável
VET0072,Canina,SRD,10.2,F,15.45,33.45,12.88,99.25,28.65,1.16,24.35,2.91,0,0,0,0,1,0,0,0,0,0,Saudável
VET0073,Canina,Maine Coon,5.5,F,15.45,42.49,12.05,84.07,22.73,1.27,59.99,3.89,0,0,0,0,0,0,0,0,0,0,Saudável
VET0074,Canina,Poodle,10.5,F,14.42,48.45,9.61,96.63,26.05,0.7,49.38,2.61,0,0,0,0,0,0,0,0,0,0,Saudável
VET0075,Canina,Persa,18.3,M,15.25,47.71,10.54,127.36,30.15,1.22,55.99,3.59,0,0,0,0,0,0,0,0,0,0,Saudável
VET0076,Canina,Persa,9.5,M,11.35,45.74,12.71,94.73,30.11,1.36,74.88,2.54,0,0,0,0,0,0,0,0,0,0,Saudável
VET0077,Canina,Labrador,4.0,F,13.61,44.89,13.72,90.37,40.5,0.98,28.66,3.19,0,0,0,0,0,0,0,0,0,0,Saudável
VET0078,Canina,SRD,7.5,M,15.47,44.33,11.86,125.64,25.3,1.34,43.0,3.36,0,0,0,1,0,0,0,0,0,0,Saudável
VET0079,Canina,Persa,7.0,M,14.87,44.95,13.61,88.64,27.48,1.44,40.09,3.4,0,0,0,0,0,0,0,0,0,0,Saudável
VET0080,Canina,Persa,4.6,F,13.72,49.4,9.43,101.5,44.5,0.7,79.73,3.69,0,0,0,0,0,0,0,0,0,0,Saudável
VET0081,Canina,Maine Coon,14.5,F,11.86,43.17,10.93,89.09,31.71,0.57,16.77,3.21,0,0,0,0,0,0,0,0,0,0,Saudável
VET0082,Canina,Persa,12.9,M,16.67,42.4,14.84,105.23,12.81,1.24,41.36,2.93,0,0,0,0,0,1,1,0,0,0,Saudável
VET0083,Canina,SRD,2.5,F,16.31,43.04,8.64,97.11,20.85,1.1,47.05,3.06,0,0,0,0,0,0,0,0,0,0,Saudável
VET0084,Canina,Persa,8.5,M,14.1,46.88,9.0,99.53,41.13,1.37,48.0,3.14,0,0,0,0,0,0,0,0,0,0,Saudável
VET0085,Canina,SRD,15.9,F,13.3,44.4,11.29,100.27,48.52,1.35,42.46,3.36,0,1,0,0,0,0,0,0,0,0,Saudável
VET0086,Canina,Maine Coon,13.6,M,13.77,44.34,13.41,123.72,43.1,0.31,54.79,3.63,0,0,0,0,0,0,0,0,0,0,Saudável
VET0087,Canina,SRD,4.8,M,13.97,42.41,11.82,85.57,39.82,0.79,39.79,3.55,0,0,0,0,0,0,0,0,0,0,Saudável
VET0088,Canina,Labrador,10.6,M,15.13,48.53,9.08,94.92,43.31,1.15,76.19,3.03,1,0,0,0,0,0,0,0,0,0,Saudável
VET0089,Canina,Maine Coon,11.1,F,13.73,38.74,15.89,133.16,36.46,0.97,43.56,3.43,0,0,0,0,0,0,0,0,0,0,Saudável
VET0090,Canina,Poodle,5.4,M,13.71,46.45,10.19,99.16,30.81,0.62,59.68,3.13,0,0,1,0,0,0,0,0,0,0,Saudável
VET0091,Canina,Persa,7.9,M,17.46,51.46,11.03,113.26,47.17,1.3,41.37,3.32,0,0,0,0,0,0,0,0,0,0,Saudável
VET0092,Canina,Persa,5.7,F,14.11,40.15,16.37,87.27,33.41,1.09,55.64,3.42,0,0,0,0,0,0,0,0,0,0,Saudável
VET0093,Canina,Maine Coon,23.2,F,14.86,47.16,14.65,110.05,51.45,1.17,94.69,2.97,0,0,0,0,0,0,0,0,0,0,Saudável
VET0094,Canina,Labrador,9.0,M,14.46,48.18,13.68,128.79,30.96,1.24,17.48,3.05,0,0,0,0,0,0,0,0,0,0,Saudável
VET0095,Canina,Maine Coon,14.8,M,16.5,40.52,11.67,80.2,31.25,1.43,44.57,3.62,0,0,0,1,0,0,0,0,0,0,Saudável
VET0096,Canina,Poodle,2.8,F,15.16,43.12,11.41,99.57,14.99,0.54,95.93,3.05,0,0,0,0,0,0,0,0,0,0,Saudável
VET0097,Canina,Siamês,8.1,M,14.52,44.36,14.01,98.2,28.98,0.9,34.08,3.52,0,0,1,0,0,0,0,0,0,0,Saudável
VET0098,Canina,Persa,8.3,M,14.28,45.59,16.84,108.45,32.85,0.73,6.96,2.98,0,0,0,0,0,0,1,0,0,0,Saudável
VET0099,Canina,Maine Coon,7.0,F,18.82,48.81,12.86,85.81,37.89,0.66,52.17,3.19,0,0,0,0,0,0,0,0,0,0,Saudável
VET0100,Canina,Poodle,6.2,M,13.21,48.68,15.0,84.94,46.14,0.92,55.77,3.28,0,0,0,0,0,0,0,0,0,0,Saudável
VET0101,Canina,Siamês,18.8,F,15.19,50.24,16.19,86.57,33.33,0.49,33.88,3.49,0,0,1,0,0,0,0,0,0,0,Saudável
VET0102,Canina,SRD,3.3,M,14.87,43.52,11.22,118.98,39.49,0.91,63.94,3.1,0,0,1,0,0,0,0,0,0,0,Saudável
VET0103,Canina,Labrador,12.3,M,15.18,37.8,10.37,83.18,30.03,0.95,40.56,2.61,0,0,0,0,0,0,1,0,0,0,Saudável
VET0104,Canina,Siamês,7.7,F,14.3,44.58,19.93,72.46,37.03,1.14,71.72,3.23,0,0,0,0,0,0,1,0,0,1,Saudável
VET0105,Canina,SRD,9.1,F,17.46,41.38,10.04,86.07,46.0,0.36,112.75,3.52,1,0,0,0,0,0,0,0,0,0,Saudável
VET0106,Canina,Labrador,5.7,M,15.89,33.24,13.97,97.92,34.85,0.88,72.48,3.48,0,0,0,0,0,0,0,0,0,1,Saudável
VET0107,Canina,Maine Coon,5.1,F,16.28,49.84,7.68,97.71,36.16,0.81,56.26,3.66,0,0,0,0,0,0,0,0,0,0,Saudável
VET0108,Canina,Persa,4.5,M,14.8,38.53,13.34,83.67,26.19,1.19,44.42,3.51,0,0,0,0,0,0,0,0,0,0,Saudável
VET0109,Canina,Persa,7.0,M,15.5,44.45,15.27,98.29,45.31,1.13,94.37,2.73,0,0,0,0,0,0,0,0,0,0,Saudável
VET0110,Canina,Labrador,8.4,M,14.06,45.06,14.87,79.51,28.13,1.34,44.54,2.97,0,0,0,0,0,0,0,0,0,0,Saudável
VET0111,Canina,Siamês,6.7,M,14.17,47.09,9.55,97.87,35.55,0.68,71.17,3.26,0,0,0,1,0,0,0,0,0,0,Saudável
VET0112,Canina,Maine Coon,4.7,M,16.85,43.72,10.81,102.24,32.04,1.63,44.54,3.31,0,0,0,0,0,0,0,0,0,0,Saudável
VET0113,Canina,Labrador,4.8,M,15.23,38.02,12.36,72.12,25.93,0.93,5.0,3.43,0,0,0,1,0,0,0,0,0,0,Saudável
VET0114,Canina,Labrador,8.3,M,15.2,43.58,10.28,96.53,47.39,0.63,20.65,3.25,0,0,0,0,0,0,0,0,0,0,Saudável
VET0115,Canina,Siamês,15.8,M,14.74,51.65,12.06,98.46,24.92,0.82,42.5,3.1,0,0,0,0,0,0,0,0,0,0,Saudável
VET0116,Canina,Persa,8.0,M,13.65,43.72,12.46,82.47,51.72,0.52,53.69,3.81,0,0,0,0,0,0,0,0,0,0,Saudável
VET0117,Canina,Maine Coon,4.2,M,14.36,47.35,7.21,101.93,51.19,0.59,53.79,3.0,1,0,0,0,0,0,0,0,0,0,Saudável
VET0118,Canina,Siamês,9.2,F,16.25,47.25,13.25,112.07,37.8,0.84,75.39,3.61,0,0,0,0,0,0,0,0,0,0,Saudável
VET0119,Canina,SRD,9.1,M,20.24,39.15,18.77,90.39,34.32,0.8,65.66,2.77,1,0,0,0,0,0,0,0,0,0,Saudável
VET0120,Canina,Maine Coon,3.7,M,14.72,51.73,10.42,66.0,48.51,1.28,40.53,3.13,0,0,0,0,0,0,0,0,0,0,Saudável
VET0121,Canina,SRD,3.8,M,12.89,41.27,11.67,110.51,29.78,1.36,51.26,3.59,0,0,0,0,0,0,0,0,0,0,Saudável
VET0122,Canina,Labrador,4.3,M,13.37,49.43,9.28,78.74,49.51,1.18,77.94,2.94,0,0,1,0,0,0,0,0,0,0,Saudável
VET0123,Canina,Maine Coon,9.2,F,15.2,38.0,14.33,74.07,17.07,0.91,52.89,3.35,0,0,0,0,0,0,0,0,0,0,Saudável
VET0124,Canina,Labrador,1.4,F,15.75,44.18,11.8,104.63,26.09,1.22,72.82,3.69,0,0,0,0,0,0,0,0,0,0,Saudável
VET0125,Canina,Maine Coon,14.4,F,15.08,56.69,12.92,122.64,16.34,1.4,46.38,2.62,0,1,0,1,0,0,0,0,0,0,Saudável
VET0126,Canina,Siamês,7.3,F,15.93,45.11,12.31,85.06,31.03,0.63,41.31,3.4,0,0,0,0,0,0,0,0,0,0,Saudável
VET0127,Canina,SRD,8.5,M,16.68,50.79,10.92,75.11,31.69,1.08,30.72,2.91,0,1,0,0,0,0,0,0,0,0,Saudável
VET0128,Canina,Persa,8.9,M,12.83,44.67,7.65,81.17,26.97,1.06,51.39,2.98,0,1,0,0,0,0,0,0,0,0,Saudável
VET0129,Canina,Persa,7.5,F,16.28,52.05,7.06,97.54,33.93,0.7,24.08,3.35,0,0,0,0,0,0,0,0,0,0,Saudável
VET0130,Canina,Poodle,9.5,F,15.75,41.67,14.09,94.62,51.85,0.75,73.43,3.31,0,0,0,1,0,0,0,0,0,0,Saudável
VET0131,Canina,SRD,8.8,M,13.54,37.49,13.38,74.76,21.25,1.38,65.36,3.1,0,0,0,0,0,0,0,0,0,0,Saudável
VET0132,Canina,Siamês,8.6,M,16.15,43.32,16.09,99.95,42.15,1.0,75.44,2.85,0,0,0,0,0,0,0,0,0,0,Saudável
VET0133,Canina,Maine Coon,3.6,M,16.11,44.37,12.13,79.94,41.85,1.29,45.82,3.58,0,0,0,0,0,0,0,0,0,0,Saudável
VET0134,Canina,Poodle,12.6,F,12.95,42.05,8.72,87.88,43.26,1.43,52.12,3.1,0,0,0,0,0,0,0,0,0,0,Saudável
VET0135,Canina,SRD,2.5,F,13.99,48.85,5.82,103.26,47.58,0.83,72.38,3.75,0,0,0,0,0,0,0,0,0,1,Saudável
VET0136,Canina,Maine Coon,21.7,M,12.18,50.96,10.45,85.73,26.51,1.67,77.69,3.19,0,0,1,0,0,0,0,0,0,0,Saudável
VET0137,Canina,Persa,7.8,F,13.64,51.84,11.21,100.46,40.08,1.11,68.31,3.52,0,0,0,0,0,0,0,0,0,0,Saudável
VET0138,Canina,Siamês,5.8,M,14.7,44.83,12.17,107.73,17.02,0.82,54.23,3.56,0,1,0,0,0,0,0,0,0,0,Saudável
VET0139,Canina,Siamês,8.8,M,15.98,40.45,11.4,94.9,39.79,1.2,35.32,3.22,0,0,0,0,0,0,0,0,0,0,Saudável
VET0140,Canina,SRD,14.4,F,14.82,47.56,7.6,117.04,32.14,1.04,73.24,2.96,0,0,0,0,0,0,0,0,0,0,Saudável
VET0141,Canina,Siamês,9.8,F,16.73,43.32,15.33,103.95,42.41,0.67,51.97,3.18,0,0,0,0,0,0,0,0,0,0,Saudável
VET0142,Canina,Maine Coon,8.3,F,14.96,41.2,16.3,88.1,34.47,0.9,59.83,3.04,0,0,0,0,0,0,1,0,0,0,Saudável
VET0143,Canina,Persa,2.1,F,16.74,41.75,13.11,99.74,34.22,0.85,74.3,3.02,0,0,0,0,0,0,0,0,0,0,Saudável
VET0144,Canina,Labrador,11.1,F,12.71,52.08,10.52,74.69,30.57,1.21,53.18,3.14,0,0,1,1,0,0,0,0,0,0,Saudável
VET0145,Canina,SRD,18.3,F,15.84,44.36,12.0,75.85,43.9,1.32,23.77,3.46,0,0,0,0,0,0,0,0,0,0,Saudável
VET0146,Canina,Maine Coon,14.3,M,16.28,47.36,12.8,101.58,36.08,1.06,69.38,3.33,0,0,0,0,0,0,0,0,0,0,Saudável
VET0147,Canina,SRD,7.0,F,15.66,45.01,8.96,117.38,36.98,1.06,44.92,3.1,0,0,0,0,0,0,0,0,0,0,Saudável
VET0148,Canina,Maine Coon,3.4,M,13.88,44.62,8.18,93.33,28.83,1.1,50.41,3.36,0,0,0,0,0,0,1,0,0,0,Saudável
VET0149,Canina,Labrador,19.9,M,14.27,43.89,13.6,107.74,26.45,1.11,80.24,3.17,0,0,0,0,0,0,1,0,0,0,Saudável
VET0150,Canina,Maine Coon,11.2,M,14.52,45.7,8.88,95.25,32.18,1.63,42.14,3.75,0,0,0,0,0,0,0,0,0,0,Saudável
VET0151,Canina,Maine Coon,15.6,M,16.65,45.15,13.18,93.78,35.76,1.05,36.61,3.08,0,0,0,0,0,0,0,0,0,0,Saudável
VET0152,Canina,Labrador,11.5,M,14.23,49.95,9.37,67.22,41.68,1.04,16.63,3.96,0,0,0,0,0,0,0,0,0,0,Saudável
VET0153,Canina,SRD,26.6,F,13.6,42.33,12.88,92.19,17.09,0.36,37.86,3.34,0,0,0,1,0,0,0,0,0,0,Saudável
VET0154,Canina,SRD,1.6,M,15.33,43.27,12.94,73.62,41.5,0.77,63.87,3.07,0,1,0,0,0,0,0,0,0,0,Saudável
VET0155,Canina,Siamês,9.7,M,15.3,45.86,11.4,104.49,43.98,0.75,33.32,3.16,0,0,0,0,0,0,0,0,0,0,Saudável
VET0156,Canina,Persa,13.1,F,15.8,42.76,5.93,102.06,50.58,0.76,11.29,3.0,0,0,0,0,1,0,1,0,0,0,Saudável
VET0157,Canina,Siamês,6.7,M,13.47,48.77,10.07,65.08,37.11,1.22,34.08,3.03,0,0,0,0,0,0,0,0,0,0,Saudável
VET0158,Canina,Siamês,3.2,F,15.89,51.68,10.69,97.18,39.93,1.07,55.1,3.18,0,0,0,0,0,0,0,0,0,0,Saudável
VET0159,Canina,Labrador,10.3,F,13.63,45.75,12.2,111.15,29.07,1.5,63.29,3.23,0,0,0,0,0,0,0,0,0,0,Saudável
VET0160,Canina,Maine Coon,6.1,M,18.12,47.71,14.37,71.49,38.03,1.41,42.87,3.03,0,0,0,0,1,0,0,0,0,0,Saudável
VET0161,Canina,Labrador,9.8,M,14.27,46.68,12.24,85.53,37.26,0.91,63.94,3.13,0,0,0,0,0,0,0,0,0,0,Saudável
VET0162,Canina,Poodle,11.0,M,17.94,40.63,9.53,112.82,47.28,1.16,45.77,3.07,0,0,0,0,0,0,0,0,0,0,Saudável
VET0163,Canina,Persa,4.4,M,14.3,43.84,8.79,68.2,44.26,1.39,46.69,3.0,0,0,0,0,0,0,0,0,0,0,Saudável
VET0164,Canina,Labrador,5.8,M,13.33,50.48,16.29,116.97,30.51,1.6,57.02,3.69,0,0,0,0,0,0,0,0,0,0,Saudável
VET0165,Canina,SRD,19.1,M,14.78,45.81,12.46,109.86,39.31,1.25,28.69,3.56,0,0,0,0,0,0,0,0,0,0,Saudável
VET0166,Canina,Maine Coon,6.7,M,16.61,41.15,10.13,93.43,13.37,1.06,28.9,3.62,0,0,0,0,0,0,0,0,0,0,Saudável
VET0167,Canina,Siamês,15.5,M,13.64,41.13,11.53,94.61,38.47,1.2,28.02,2.96,0,0,0,0,0,0,0,0,0,0,Saudável
VET0168,Canina,SRD,10.0,F,14.6,40.47,9.43,73.37,41.86,0.72,25.56,3.45,0,0,0,0,0,0,0,0,0,0,Saudável
VET0169,Canina,Siamês,10.5,F,13.52,44.02,13.16,89.18,20.79,1.28,37.53,3.42,1,0,0,0,0,0,0,0,0,0,Saudável
VET0170,Canina,Poodle,2.0,F,18.12,43.49,11.38,104.08,43.92,1.32,54.47,3.12,0,0,0,0,0,0,0,0,0,0,Saudável
VET0171,Canina,SRD,12.2,F,12.5,45.64,9.4,50.0,39.42,0.67,63.24,3.39,0,0,0,0,0,0,0,0,0,0,Saudável
VET0172,Canina,SRD,11.4,F,17.67,47.73,11.83,112.41,24.85,0.62,65.32,2.85,0,0,0,1,0,0,0,0,0,0,Saudável
VET0173,Canina,Maine Coon,10.4,F,17.29,44.62,15.58,108.81,53.35,0.96,41.59,3.58,0,0,0,0,0,0,0,0,0,0,Saudável
VET0174,Canina,Siamês,8.7,F,13.9,38.63,14.62,100.61,43.82,0.54,60.14,3.13,0,0,0,0,0,0,0,0,0,0,Saudável
VET0175,Canina,Poodle,6.0,F,15.35,47.59,11.35,81.91,42.05,1.22,31.67,3.61,0,0,0,0,0,0,0,0,0,0,Saudável
VET0176,Canina,Maine Coon,4.2,M,11.39,50.67,4.54,114.15,37.7,0.64,28.49,3.7,0,0,0,0,0,0,0,0,0,0,Saudável
VET0177,Canina,Maine Coon,2.1,F,13.23,46.8,18.26,79.78,32.11,1.12,48.92,2.91,0,0,0,0,0,0,0,0,0,0,Saudável
VET0178,Canina,Maine Coon,7.3,F,15.27,48.66,7.36,118.85,39.59,1.42,23.16,2.79,0,0,0,0,0,0,0,0,0,0,Saudável
