id,especie,raca,idade_anos,sexo,hemoglobina,hematocrito,leucocitos,plaquetas,glicose,ureia,creatinina,alt,ast,fosfatase_alcalina,proteinas_totais,albumina,colesterol,triglicerideos,eosinofilos,febre,apatia,perda_peso,vomito,diarreia,tosse,letargia,feridas_cutaneas,poliuria,polidipsia,diagnostico
VET0015,Canina,Poodle,7.0,F,15.91,43.63,15.51,341.96,118.41,25.57,1.46,79.89,41.98,129.82,7.0,3.31,148.37,24.23,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0016,Canina,Labrador,4.0,F,12.23,34.06,11.01,203.49,73.62,66.42,2.27,64.0,25.21,110.35,7.21,2.8,135.55,82.47,,0,1,1,0,0,0,0,0,0,0,Doença Renal Crônica
VET0017,Canina,Persa,6.7,F,13.2,40.01,7.15,390.93,152.13,20.95,1.53,19.9,33.95,112.18,7.23,3.43,377.4,64.13,,0,1,0,0,0,0,0,0,0,0,Obesidade
VET0018,Canina,Labrador,14.5,F,11.47,40.28,22.71,397.61,94.91,36.66,1.29,49.18,78.3,146.72,6.77,2.41,225.23,29.39,,1,1,1,0,1,0,1,0,0,0,Neoplasia
VET0019,Canina,Persa,7.8,M,10.6,43.46,22.04,339.74,111.8,27.07,1.35,65.85,54.96,102.23,6.18,2.59,187.82,28.99,,1,0,1,0,0,1,0,0,0,0,Neoplasia
VET0020,Canina,Poodle,9.0,F,14.65,42.96,10.94,400.82,77.29,33.48,1.15,174.1,38.7,66.7,6.2,2.85,179.94,89.36,,0,1,0,0,1,0,1,0,0,0,Doença Cardíaca
VET0021,Felina,Siamês,6.6,M,13.12,30.26,10.02,689.24,270.62,37.63,1.43,33.99,31.29,18.8,6.33,2.7,253.91,144.87,,0,0,1,0,0,1,0,0,1,1,Diabetes Mellitus
VET0022,Canina,SRD,6.5,M,16.77,53.54,12.61,482.26,111.34,40.01,1.13,41.37,20.58,98.64,6.07,3.63,269.07,117.82,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0023,Canina,Poodle,13.6,M,13.93,41.39,12.2,314.13,97.42,111.48,3.39,50.0,15.51,96.32,5.75,2.57,236.31,85.06,,0,0,1,0,0,0,1,0,1,1,Doença Renal Crônica
VET0024,Canina,Poodle,17.0,F,13.46,53.69,6.66,480.33,87.58,23.04,1.03,58.7,34.05,59.95,7.09,2.76,173.58,99.34,,0,0,1,0,0,1,1,0,0,1,Doença Cardíaca
VET0025,Canina,Persa,7.6,M,17.71,47.83,25.42,465.26,81.4,26.36,1.17,46.99,44.4,137.0,7.28,2.81,239.27,55.72,,0,0,0,0,0,0,1,0,0,0,Otite
VET0026,Felina,Siamês,11.2,M,12.28,33.48,15.06,537.79,109.74,59.63,0.96,58.66,26.17,39.97,7.79,3.47,199.04,34.63,,0,0,0,0,0,0,0,0,0,0,Doença Periodontal
VET0027,Canina,Maine Coon,4.8,F,15.24,52.84,13.16,359.89,86.22,29.99,1.24,99.47,38.16,92.51,6.93,3.1,138.42,93.1,,1,0,0,0,0,0,0,0,0,0,Saudável
VET0028,Canina,Maine Coon,10.1,M,14.4,39.74,16.92,478.1,97.0,45.26,1.07,66.12,18.12,118.19,5.67,3.57,239.48,112.14,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0029,Canina,SRD,20.0,M,14.35,46.02,15.1,361.92,101.4,40.23,1.09,74.93,19.94,47.56,7.12,2.92,133.21,39.99,,1,0,1,0,0,0,0,0,0,0,Doença Periodontal
VET0030,Canina,Siamês,4.8,M,16.0,39.19,11.26,351.83,98.39,22.4,1.35,36.13,35.8,141.74,7.24,2.86,335.41,20.04,,0,1,0,0,0,0,1,0,0,0,Obesidade
VET0031,Felina,Labrador,8.1,M,10.37,33.49,12.3,369.5,122.46,55.44,1.67,65.45,26.19,55.79,8.9,3.24,142.98,38.27,,0,0,0,0,0,0,0,0,0,0,Otite
VET0032,Canina,Labrador,12.7,M,12.26,43.69,8.92,393.83,94.97,27.98,0.66,21.45,45.26,51.65,6.77,3.55,215.97,131.74,,0,1,0,0,0,0,0,0,0,0,Saudável
VET0033,Canina,SRD,5.0,M,11.65,36.91,15.78,335.19,114.12,55.85,3.29,49.89,16.67,24.94,6.97,2.27,242.3,33.7,,1,1,1,0,0,0,1,0,1,0,Doença Renal Crônica
VET0034,Felina,SRD,5.4,F,8.23,30.16,20.7,404.29,75.54,58.79,1.37,148.31,30.33,18.77,7.19,1.88,143.46,94.02,,0,0,1,0,0,0,1,1,0,0,Neoplasia
VET0035,Felina,SRD,18.9,F,12.82,33.32,26.19,599.28,114.63,35.42,0.86,32.4,40.13,28.85,7.35,3.52,101.87,76.4,,1,0,0,0,0,0,1,0,0,0,Doença Periodontal
VET0036,Felina,Poodle,15.7,F,9.96,36.92,6.99,398.67,128.12,59.75,0.92,38.1,42.0,24.28,7.39,3.53,157.76,39.1,1.68,0,0,0,0,0,0,1,1,0,0,Dermatite
VET0037,Canina,Maine Coon,6.3,F,16.68,40.91,9.49,398.91,70.09,25.35,0.53,25.02,21.35,70.4,7.15,3.64,201.42,114.04,,1,0,0,0,0,0,0,0,0,0,Otite
VET0038,Canina,Poodle,10.8,F,16.95,46.37,10.11,236.71,106.78,27.08,0.91,15.63,43.05,119.66,6.94,2.89,154.29,102.88,,0,0,0,1,0,0,1,0,0,1,Saudável
VET0039,Felina,Persa,6.8,M,14.58,41.74,10.97,641.09,88.04,41.31,1.35,43.66,27.41,75.61,9.75,3.38,95.48,92.79,,0,0,0,0,0,0,0,0,0,0,Otite
VET0040,Canina,SRD,3.3,F,13.54,39.58,10.08,328.67,112.24,58.45,1.46,86.78,16.63,100.56,6.58,2.2,174.13,120.34,,0,1,1,1,0,0,1,0,1,0,Doença Renal Crônica
VET0041,Canina,Siamês,3.8,F,12.13,49.96,10.6,226.65,104.19,36.35,1.58,30.47,29.14,90.53,7.06,3.21,215.81,49.4,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0042,Canina,SRD,16.0,F,14.48,36.87,11.47,301.93,113.61,98.16,4.16,77.87,15.63,36.41,6.79,1.93,165.77,143.06,,0,1,1,1,0,0,1,0,1,0,Doença Renal Crônica
VET0043,Canina,Persa,5.0,M,14.4,33.39,7.74,408.77,109.66,58.49,4.77,91.55,24.69,147.86,5.7,1.9,155.79,136.22,,0,1,1,1,0,1,1,0,0,1,Doença Renal Crônica
VET0044,Felina,Maine Coon,13.8,F,9.56,30.44,23.63,383.9,100.32,59.2,1.2,30.75,46.73,17.75,9.09,3.88,189.14,73.88,,1,1,0,0,0,0,1,0,0,0,Otite
VET0045,Canina,SRD,3.4,M,16.84,52.19,10.87,209.33,106.96,23.19,0.85,10.34,38.86,41.73,6.78,3.79,140.17,30.02,1.8,0,0,0,0,0,0,1,1,0,0,Dermatite
VET0046,Felina,Maine Coon,9.0,M,9.0,32.54,10.96,451.8,88.14,41.45,0.95,50.64,68.39,43.53,6.05,2.92,92.99,97.47,,0,1,1,1,0,1,1,0,0,0,Doença Cardíaca
VET0047,Canina,Poodle,6.7,M,15.4,42.11,15.07,222.27,81.32,41.91,1.16,15.8,45.7,134.04,6.09,2.94,268.46,101.4,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0048,Canina,Siamês,13.3,M,12.2,52.63,10.82,486.75,71.26,40.83,0.59,91.96,31.26,37.88,6.12,2.71,153.88,143.25,,0,1,0,0,0,0,1,0,0,0,Doença Periodontal
VET0049,Canina,SRD,7.0,M,17.44,41.3,21.11,335.14,93.65,38.68,1.02,50.27,31.6,96.81,6.53,3.61,136.93,128.33,,0,0,0,0,0,0,0,0,0,0,Doença Periodontal
VET0050,Canina,Siamês,5.1,F,16.05,37.81,10.96,478.83,78.26,31.7,1.3,89.4,38.48,53.56,6.82,2.89,230.58,144.02,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0051,Felina,SRD,12.6,F,11.43,34.82,16.0,465.07,121.69,49.39,1.87,93.06,45.67,19.72,6.29,2.51,108.9,72.84,,1,1,1,0,0,0,1,0,0,0,Doença Cardíaca
VET0052,Felina,Siamês,10.1,F,11.32,42.78,11.15,331.05,113.4,55.85,1.51,25.84,25.37,41.51,7.45,3.56,100.88,91.72,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0053,Felina,Poodle,13.7,F,11.32,41.88,13.84,340.5,137.77,45.93,1.81,50.62,32.39,17.37,6.42,3.86,115.13,98.31,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0054,Felina,SRD,13.0,M,8.68,32.11,11.72,697.94,113.63,68.44,3.57,20.61,11.24,77.95,7.93,2.97,142.57,64.92,,0,0,1,1,0,0,1,0,1,1,Doença Renal Crônica
VET0055,Canina,Labrador,6.4,M,13.8,42.86,16.41,338.43,106.54,24.44,1.44,73.98,46.74,37.21,6.65,3.28,179.48,79.6,1.62,0,0,0,0,0,0,1,1,0,0,Dermatite
VET0056,Felina,Siamês,11.5,M,12.13,38.44,11.68,542.3,572.88,40.87,1.67,72.61,28.24,41.04,7.51,3.33,220.85,79.09,,0,0,0,0,0,0,1,0,1,1,Diabetes Mellitus
VET0057,Canina,Labrador,14.5,M,13.67,40.79,16.53,202.66,171.53,40.3,1.41,64.3,15.5,115.92,7.15,3.46,225.97,117.95,,0,1,0,0,0,0,1,0,0,0,Obesidade
VET0058,Canina,Maine Coon,5.0,F,12.61,52.64,13.5,233.88,112.1,27.27,1.03,23.07,39.85,106.69,5.84,3.62,186.18,58.03,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0059,Canina,SRD,11.2,F,16.93,46.98,13.01,357.88,350.65,27.04,0.83,36.1,34.72,35.59,7.33,3.44,315.48,73.33,,0,0,0,0,0,0,1,1,1,1,Diabetes Mellitus
VET0060,Canina,Persa,10.1,F,17.59,51.88,7.43,369.5,113.33,37.15,1.5,94.87,29.78,69.05,7.37,3.38,146.24,25.5,,0,1,0,0,0,0,0,0,0,0,Saudável
VET0061,Canina,Poodle,8.8,F,18.0,38.89,18.74,315.54,113.29,34.28,0.62,67.1,41.98,20.37,8.46,2.74,207.29,74.05,,1,1,0,0,0,0,0,0,0,0,Otite
VET0062,Canina,Persa,4.5,F,14.81,47.43,12.28,212.9,103.34,44.7,1.36,58.94,18.5,109.45,6.54,3.68,247.36,112.22,,1,0,1,0,0,0,0,0,0,0,Otite
VET0063,Felina,Siamês,7.4,M,9.46,35.74,20.4,372.7,104.84,39.96,1.21,61.73,18.93,54.93,7.43,3.3,162.93,66.13,,0,0,1,0,0,0,0,0,0,0,Doença Periodontal
VET0064,Canina,Labrador,3.8,M,12.35,54.24,16.37,435.56,377.42,36.33,1.56,16.8,27.8,49.3,5.81,2.68,279.71,227.07,,0,0,1,0,0,0,0,0,1,1,Diabetes Mellitus
VET0065,Canina,Poodle,7.3,M,15.0,49.23,6.84,282.41,110.35,33.79,1.1,48.95,16.54,41.55,6.34,2.77,137.0,129.67,,1,0,0,0,0,0,1,1,0,1,Saudável
VET0066,Canina,Persa,3.3,F,15.56,38.32,12.85,494.35,273.23,43.78,1.5,94.93,48.6,87.79,7.45,3.48,205.81,143.37,,0,0,1,1,0,0,0,0,1,1,Diabetes Mellitus
VET0067,Canina,SRD,11.3,M,11.11,39.76,15.84,200.13,115.07,57.43,3.36,95.94,32.31,86.65,6.41,2.18,142.7,24.24,,0,1,1,1,1,0,1,0,1,1,Doença Renal Crônica
VET0068,Felina,Persa,15.4,M,13.08,33.37,11.54,587.66,115.07,42.83,1.19,68.78,15.75,40.11,8.26,3.68,134.1,82.23,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0069,Canina,Labrador,6.3,M,13.99,49.49,14.48,396.4,105.26,46.28,1.09,47.4,29.88,24.88,5.67,3.5,206.6,74.15,,0,1,0,0,0,0,1,0,0,0,Obesidade
VET0070,Felina,Labrador,18.5,M,8.94,36.23,16.93,372.65,99.68,114.16,6.04,78.94,40.17,37.52,7.48,2.59,98.63,65.84,,0,1,1,0,1,0,0,0,1,1,Doença Renal Crônica
VET0071,Felina,SRD,17.8,M,14.17,34.11,19.57,378.1,97.63,40.07,1.97,69.96,38.05,60.89,7.41,3.83,144.59,53.54,1.68,0,0,0,0,0,0,1,1,0,0,Dermatite
VET0072,Canina,Persa,15.6,F,9.5,46.09,34.88,458.79,78.96,44.0,1.11,103.08,27.46,132.49,5.73,2.39,170.61,133.28,,1,1,0,0,0,0,1,0,0,0,Neoplasia
VET0073,Canina,SRD,4.5,F,8.78,33.97,13.45,221.63,80.27,92.11,4.19,80.64,40.67,35.1,7.04,2.76,214.15,148.75,,1,0,1,1,0,0,1,0,1,0,Doença Renal Crônica
VET0074,Felina,Persa,5.1,M,12.78,38.24,20.94,357.58,117.63,35.16,1.91,14.78,27.21,58.71,7.15,2.63,150.87,73.12,1.06,0,0,0,0,0,0,0,1,0,0,Dermatite
VET0075,Felina,Labrador,14.2,M,12.75,35.6,8.06,550.99,100.85,58.09,1.45,75.78,18.82,60.8,7.54,3.54,113.61,74.87,1.61,0,1,0,0,0,0,0,1,1,0,Dermatite
VET0076,Felina,Maine Coon,17.6,M,10.22,39.81,22.69,320.01,142.92,30.89,1.23,11.11,13.09,73.78,6.89,3.09,113.69,69.78,1.06,0,1,0,0,0,0,0,1,0,1,Dermatite
VET0077,Felina,Maine Coon,7.2,F,11.0,42.98,18.31,643.93,96.52,53.62,1.29,117.42,35.52,68.36,7.25,3.25,160.31,83.8,,0,0,0,0,0,0,1,0,0,0,Obesidade
VET0078,Canina,Persa,11.5,M,15.1,51.16,16.37,424.03,106.03,44.79,0.99,82.53,15.28,140.19,6.33,3.22,165.68,116.53,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0079,Canina,Maine Coon,6.7,M,12.98,38.96,15.73,303.43,93.09,91.97,1.79,36.63,31.07,73.44,6.92,2.12,198.51,75.85,,0,1,1,1,1,0,1,0,0,1,Doença Renal Crônica
VET0080,Canina,Poodle,10.2,M,11.2,44.76,12.29,495.87,90.74,125.04,2.98,71.11,29.42,117.97,5.83,2.16,206.54,94.8,,0,1,1,0,1,0,1,1,1,1,Doença Renal Crônica
VET0081,Felina,Siamês,16.7,M,13.29,43.22,15.74,578.91,130.21,43.95,1.85,24.24,15.1,29.99,7.33,3.21,180.27,55.34,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0082,Felina,Poodle,4.0,F,14.89,36.76,16.9,695.69,88.52,58.28,0.85,41.25,12.8,61.05,7.52,3.49,131.19,52.71,,0,1,0,1,0,0,0,0,0,0,Doença Periodontal
VET0083,Canina,Siamês,20.0,F,12.23,39.66,6.16,262.17,105.66,77.42,4.55,41.23,28.68,40.63,5.94,2.47,190.64,120.66,,0,1,1,0,0,0,1,0,1,1,Doença Renal Crônica
VET0084,Canina,Maine Coon,13.8,M,14.7,54.25,10.74,364.8,205.53,39.1,1.32,30.25,33.51,127.37,6.37,2.86,369.3,238.31,,0,1,1,1,0,0,0,0,1,1,Diabetes Mellitus
VET0085,Canina,SRD,9.9,F,13.95,53.22,16.96,447.62,112.24,27.47,1.13,32.08,24.64,149.86,6.09,2.8,242.93,131.54,,0,0,0,0,0,1,1,0,0,0,Doença Cardíaca
VET0086,Canina,Maine Coon,7.7,M,12.23,52.07,17.16,369.02,101.23,45.93,1.15,62.29,49.67,118.37,6.33,3.42,184.49,49.75,1.89,1,0,0,0,1,1,0,1,0,0,Dermatite
VET0087,Felina,Persa,7.7,F,12.54,26.72,12.51,576.35,125.77,99.1,4.15,20.93,35.44,51.95,6.45,2.11,140.07,75.08,,0,1,1,1,0,0,1,0,1,1,Doença Renal Crônica
VET0088,Felina,Maine Coon,13.1,M,11.13,30.78,8.92,469.33,76.77,48.21,1.86,71.8,36.36,24.79,8.16,3.74,111.63,80.31,,1,1,0,1,0,1,0,0,0,0,Doença Periodontal
VET0089,Felina,Persa,12.9,M,6.84,24.91,8.71,487.64,91.48,71.32,2.66,20.31,48.92,63.15,8.42,2.01,120.62,84.87,,0,1,0,0,1,0,1,0,0,0,Doença Renal Crônica
VET0090,Canina,SRD,3.5,F,16.82,39.47,20.08,351.65,77.2,38.72,0.8,53.91,17.88,79.75,6.04,3.57,137.98,74.42,,0,0,0,0,0,0,0,0,1,0,Doença Periodontal
VET0091,Canina,Maine Coon,5.8,M,14.9,52.09,9.98,457.94,269.15,29.85,1.0,78.62,19.41,45.53,7.4,2.73,332.42,139.24,,0,0,1,0,0,0,0,0,1,1,Diabetes Mellitus
VET0092,Felina,Poodle,7.6,M,10.41,32.15,20.14,619.09,99.39,32.61,1.47,111.75,50.23,22.26,7.68,2.46,114.0,90.56,,1,1,1,0,0,0,1,1,0,0,Neoplasia
VET0093,Felina,Poodle,7.3,M,13.56,32.32,12.32,471.99,380.37,59.99,1.72,37.85,43.1,21.95,6.08,2.79,222.57,104.87,,0,0,0,0,0,0,0,0,1,1,Diabetes Mellitus
VET0094,Canina,Maine Coon,7.4,M,15.65,42.06,7.91,313.93,110.07,31.76,1.33,21.29,42.05,50.8,6.82,3.24,260.08,70.35,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0095,Felina,Labrador,12.3,M,11.42,31.52,12.59,440.17,143.03,113.32,3.54,57.47,31.72,34.28,7.09,2.23,120.59,35.67,,1,1,1,0,0,0,1,0,1,1,Doença Renal Crônica
VET0096,Canina,Maine Coon,6.1,F,12.36,53.29,13.12,281.91,78.86,28.83,0.63,94.74,42.45,80.11,7.22,2.82,230.4,131.3,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0097,Canina,Labrador,10.2,M,17.7,39.47,22.8,389.67,99.18,31.7,0.89,14.07,22.63,21.97,7.83,2.64,252.22,88.01,,0,1,0,0,0,0,0,0,0,0,Otite
VET0098,Canina,Maine Coon,3.2,M,12.19,48.86,13.28,230.98,78.63,37.04,0.83,94.45,43.66,147.86,5.95,3.76,190.37,65.18,0.58,0,0,0,0,0,0,0,1,0,0,Dermatite
VET0099,Canina,Siamês,2.9,F,12.51,45.4,11.3,452.27,81.06,31.43,1.39,84.13,28.46,79.69,6.04,3.71,146.61,141.39,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0100,Canina,SRD,2.6,M,15.68,53.89,13.28,223.04,87.73,36.52,0.94,85.03,43.51,99.54,6.18,2.83,144.82,66.14,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0101,Canina,Siamês,9.7,F,12.28,32.36,11.11,313.89,85.83,83.76,1.21,38.33,16.51,121.53,6.24,1.99,255.1,105.55,,0,1,0,1,0,0,0,0,1,1,Doença Renal Crônica
VET0102,Felina,Persa,8.6,M,9.13,26.0,17.5,628.17,105.25,69.23,3.28,53.35,28.18,64.61,8.49,1.7,140.56,57.32,,0,1,1,0,0,0,1,0,1,1,Doença Renal Crônica
VET0103,Canina,Maine Coon,4.2,M,17.69,42.48,8.91,283.97,108.56,21.08,1.52,43.07,29.7,21.26,7.2,3.45,388.33,121.61,,0,1,0,0,0,0,1,0,0,0,Obesidade
VET0104,Canina,Poodle,3.9,F,13.33,42.72,8.85,226.28,74.5,25.8,0.56,66.38,25.06,56.37,6.1,3.36,251.89,118.68,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0105,Felina,SRD,3.7,M,12.51,35.06,16.74,398.61,201.94,40.34,1.2,43.74,14.88,17.78,7.62,3.73,215.55,35.58,,0,1,0,0,1,0,1,0,0,0,Obesidade
VET0106,Canina,Poodle,7.3,M,15.83,54.73,24.88,330.31,92.32,38.56,1.23,55.06,37.57,23.06,6.3,2.86,148.08,32.94,,0,0,0,0,0,0,1,0,0,0,Doença Periodontal
VET0107,Canina,SRD,6.7,F,12.91,53.01,16.38,429.75,70.27,20.04,0.92,22.91,15.64,80.33,7.38,2.92,222.56,104.79,,0,0,0,0,0,0,1,0,0,0,Saudável
VET0108,Felina,Labrador,4.2,F,13.84,42.63,17.38,610.98,123.83,51.73,1.39,54.34,42.22,37.85,9.69,3.33,108.25,26.85,,1,0,1,0,0,0,1,0,0,1,Otite
VET0109,Canina,Maine Coon,13.1,F,13.52,50.61,13.43,477.29,86.29,23.83,0.99,13.82,38.96,137.35,7.16,2.67,147.68,125.75,,0,0,0,1,0,0,0,0,0,0,Doença Periodontal
VET0110,Canina,Persa,15.0,F,16.89,53.1,15.06,469.64,97.66,44.37,0.92,69.96,49.61,49.34,6.22,3.12,149.32,30.54,,0,1,0,0,0,0,0,0,0,0,Saudável
VET0111,Canina,Maine Coon,7.8,M,13.31,39.43,7.32,371.79,82.84,91.73,3.48,99.52,18.24,121.45,6.81,2.26,173.05,83.97,,0,1,0,1,0,0,1,0,0,0,Doença Renal Crônica
VET0112,Canina,Poodle,3.5,M,13.63,44.19,19.33,395.88,77.7,49.31,1.1,22.21,46.28,29.7,7.31,3.8,228.06,120.16,,1,0,1,1,1,0,0,1,0,0,Doença Periodontal
VET0113,Felina,SRD,18.5,F,12.51,44.54,10.79,324.81,97.14,45.18,0.99,56.07,49.91,41.62,6.89,3.06,102.67,91.25,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0114,Felina,Maine Coon,14.2,F,12.49,36.02,19.06,350.73,101.34,34.88,1.68,24.62,12.34,48.67,7.49,3.72,153.47,50.91,,0,0,0,1,0,0,0,0,0,0,Doença Periodontal
VET0115,Felina,Labrador,20.0,F,12.78,42.43,16.47,410.83,562.47,33.73,1.85,77.97,17.09,60.54,6.1,3.07,235.36,112.21,,0,1,0,1,0,0,0,0,1,1,Diabetes Mellitus
VET0116,Felina,Labrador,11.8,M,14.41,35.75,14.66,477.03,73.87,54.61,1.79,51.16,24.12,65.98,7.39,3.66,159.46,83.83,,0,1,0,0,0,0,0,0,0,0,Doença Periodontal
VET0117,Felina,Siamês,20.0,M,11.65,32.45,8.08,380.92,100.94,31.53,1.28,45.82,29.33,36.79,8.1,2.7,145.63,29.65,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0118,Canina,Labrador,4.0,M,17.68,52.16,9.26,223.16,78.49,23.81,0.64,56.67,23.6,66.56,7.48,3.39,262.86,38.53,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0119,Felina,Siamês,8.3,M,13.37,34.73,20.33,394.77,77.76,35.37,1.76,57.43,31.88,43.26,8.31,2.6,120.87,51.25,,1,0,1,1,0,0,0,1,0,0,Doença Periodontal
VET0120,Canina,Persa,17.8,M,15.47,51.99,14.85,459.93,203.76,40.76,0.65,47.42,34.2,72.36,6.49,3.8,190.6,152.13,,0,1,1,1,0,0,1,0,1,1,Diabetes Mellitus
VET0121,Felina,Poodle,20.0,M,10.26,41.13,8.68,441.93,132.42,46.92,1.11,58.65,32.7,65.74,7.84,3.35,143.7,34.99,,0,0,0,0,0,0,0,0,0,0,Doença Periodontal
VET0122,Felina,Poodle,4.5,F,9.55,39.39,13.21,462.95,390.95,56.9,1.04,11.58,44.47,50.4,8.23,3.34,313.07,97.31,,0,0,0,0,0,0,1,0,1,0,Diabetes Mellitus
VET0123,Canina,Labrador,8.5,F,12.08,48.69,13.36,439.6,165.16,20.6,0.67,134.73,31.05,93.4,6.79,3.38,404.18,149.6,,0,0,0,0,0,0,1,0,0,0,Obesidade
VET0124,Canina,Maine Coon,10.6,M,17.59,48.17,23.44,225.12,89.3,31.22,1.47,23.62,20.32,62.71,6.87,2.74,265.13,75.66,,0,0,0,0,0,0,0,0,0,0,Otite
VET0125,Canina,Poodle,10.9,F,17.74,43.78,9.73,218.73,94.31,23.27,0.77,38.52,43.31,133.81,6.04,3.62,250.01,119.4,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0126,Canina,Poodle,8.5,M,17.71,42.92,13.29,425.55,110.6,48.37,0.84,87.27,19.61,111.66,6.96,3.38,165.32,133.5,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0127,Felina,Poodle,20.0,M,12.54,44.01,31.1,487.52,126.45,57.67,0.97,49.44,27.34,52.84,6.77,2.44,97.8,51.23,,0,1,1,1,1,0,0,0,0,0,Neoplasia
VET0128,Felina,SRD,18.7,F,9.73,36.24,6.38,458.7,107.92,43.54,1.84,47.1,28.72,38.75,8.04,3.75,183.86,75.52,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0129,Canina,Poodle,1.8,M,15.32,46.23,9.1,446.67,107.64,41.99,1.46,75.05,23.11,111.72,6.05,2.81,140.22,116.72,,0,0,0,0,0,0,0,0,0,0,Saudável
VET0130,Canina,SRD,8.6,F,16.89,52.79,24.92,401.48,71.59,36.05,0.54,82.73,26.23,93.12,6.91,3.52,254.11,71.82,,0,1,0,1,0,0,1,0,1,0,Otite
